0	204480	320	319	0.505995
1	204481	321	319	1.31239
2	204482	322	319	2.71181
3	204483	323	319	1.21306
4	204484	324	319	0.024928
5	205124	324	320	0.452397
6	205125	325	320	2.7206
7	205765	325	321	0.427841
8	205766	326	321	4.59694
9	205767	327	321	0.514084
10	206407	327	322	2.15882
11	207048	328	323	2.7756
12	207688	328	324	0.179805
13	207689	329	324	5.30091
14	207690	330	324	0.102683
15	208330	330	325	2.65276
16	208331	331	325	1.33999
17	208971	331	326	0.648779
18	208972	332	326	1.84169
19	208973	333	326	1.28654
20	209613	333	327	0.935688
21	209614	334	327	1.25515
22	210254	334	328	0.290937
23	210255	335	328	4.48734
24	210256	336	328	0.629519
25	210896	336	329	3.69646
26	210897	337	329	1.38305
27	211537	337	330	0.249452
28	211538	338	330	1.9894
29	211539	339	330	1.58072
30	212179	339	331	0.388991
31	212180	340	331	0.6455
32	212181	341	331	0.702415
33	212182	342	331	0.0233417
34	212822	342	332	0.955316
35	212823	343	332	0.64443
36	212824	344	332	2.94474
37	213464	344	333	0.783795
38	213465	345	333	2.6919
39	212826	346	332	2.22924
40	212827	347	332	1.12804
41	212187	347	331	0.273402
42	212188	348	331	0.689396
43	212189	349	331	0.755261
44	211549	349	330	1.19126
45	211550	350	330	1.72668
46	211551	351	330	0.767423
47	210911	351	329	2.87518
48	210271	351	328	0.0564083
49	210272	352	328	0.722554
50	209632	352	327	1.2653
51	209633	353	327	0.490166
52	208993	353	326	3.81572
53	208353	353	325	0.13993
54	208354	354	325	0.795716
55	207714	354	324	1.61651
56	207074	354	323	1.20028
57	206434	354	322	0.29296
58	205794	354	321	2.18213
59	205154	354	320	1.41306
60	204514	354	319	0.355826
61	203874	354	318	0.829153
62	203234	354	317	1.87585
63	202594	354	316	1.43986
64	201954	354	315	0.850335
65	201953	353	315	0.386936
66	201313	353	314	0.897329
67	200673	353	313	0.517962
68	200672	352	313	0.0800384
69	200032	352	312	0.960842
70	199392	352	311	0.818876
71	198752	352	310	0.632177
72	198751	351	310	0.184425
73	198111	351	309	0.291274
74	197471	351	308	1.25837
75	196831	351	307	1.37579
76	196191	351	306	0.538863
77	196192	352	306	1.05868
78	196193	353	306	0.302655
79	196194	354	306	0.323577
80	195554	354	305	0.0184136
81	195555	355	305	0.979687
82	195556	356	305	0.252285
83	195557	357	305	0.684733
84	195558	358	305	0.726646
85	194919	359	304	0.555456
86	194920	360	304	2.48634
87	194921	361	304	1.23152
88	194922	362	304	0.999198
89	194923	363	304	0.521881
90	194924	364	304	0.707907
91	194925	365	304	0.153365
92	194285	365	303	0.247871
93	194286	366	303	0.891625
94	194287	367	303	6.10228
95	194288	368	303	0.672944
96	194289	369	303	0.728495
97	194290	370	303	0.493478
98	193650	370	302	0.207763
99	193651	371	302	0.257404
100	193652	372	302	1.04095
101	193653	373	302	0.342095
102	193654	374	302	0.0998485
103	193655	375	302	1.03809
104	193656	376	302	1.1394
105	193657	377	302	1.09394
106	193658	378	302	0.759789
107	193659	379	302	0.906942
108	194299	379	303	0.465576
109	194300	380	303	0.284094
110	194301	381	303	0.883437
111	194302	382	303	0.759066
112	194303	383	303	0.776597
113	194943	383	304	0.675743
114	194944	384	304	0.594695
115	194945	385	304	0.260167
116	194946	386	304	1.08035
117	194947	387	304	0.928961
118	194948	388	304	0.785205
119	194949	389	304	0.279434
120	194950	390	304	1.45867
121	194951	391	304	0.328517
122	194952	392	304	1.34694
123	194953	393	304	0.69396
124	195593	393	305	0.135968
125	195594	394	305	0.787612
126	195595	395	305	0.88347
127	195596	396	305	1.42118
128	195597	397	305	0.451687
129	195598	398	305	0.267424
130	195599	399	305	0.228532
131	196239	399	306	0.271031
132	196240	400	306	1.42728
133	196241	401	306	0.489635
134	196242	402	306	0.964955
135	196243	403	306	0.566423
136	196244	404	306	1.39704
137	196245	405	306	0.992881
138	196246	406	306	0.217347
139	196886	406	307	0.198147
140	196887	407	307	0.767266
141	196888	408	307	0.984875
142	196889	409	307	0.779525
143	196890	410	307	1.69064
